query_id,query_text,category,run,cache_hit,latency_ms,input_tokens,output_tokens,total_tokens,cost_usd
1,Track my package,order_tracking,no_cache,False,2144.812799990177,27,125,152,7.905e-05
2,What is the status of my delivery?,order_tracking,no_cache,False,1838.0351999949198,32,111,143,7.139999999999999e-05
3,Can I check where my parcel is?,order_tracking,no_cache,False,3522.7282000123523,33,102,135,6.615e-05
4,When will my order arrive?,order_tracking,no_cache,False,2125.503099989146,30,108,138,6.929999999999999e-05
5,I want to send back my purchase,return_policy,no_cache,False,3656.9828999927267,31,151,182,9.525000000000001e-05
6,What is your refund policy?,return_policy,no_cache,False,2706.1701999919023,31,147,178,9.285e-05
7,How do I reset my login credentials?,account,no_cache,False,3711.376499995822,32,200,232,0.0001248
8,I cannot log in to my account,account,no_cache,False,2521.832099999301,31,191,222,0.00011925
9,Please cancel my order,cancellation,no_cache,False,3394.0129000111483,28,152,180,9.54e-05
10,How do I stop my recurring billing?,cancellation,no_cache,False,3320.302200008882,32,199,231,0.0001242
11,Is there free delivery on orders?,shipping,no_cache,False,2871.6328000009526,31,102,133,6.585e-05
12,Can I pay with PayPal?,payment,no_cache,False,3316.9731000089087,32,115,147,7.379999999999999e-05
13,The product I received is broken,damaged_goods,no_cache,False,2617.667100013932,30,171,201,0.0001071
14,Do you have a loyalty rewards program?,promotions,no_cache,False,2150.384499982465,32,119,151,7.62e-05
15,How do I update my delivery address?,account,no_cache,False,4502.78789998265,32,214,246,0.0001332
16,Can I change my order after placing it?,order_tracking,no_cache,False,2764.398600003915,33,131,164,8.355e-05
17,Do you ship to international addresses?,shipping,no_cache,False,3375.5242000042927,31,101,132,6.525e-05
18,How long does standard delivery take?,shipping,no_cache,False,3280.8113000064623,31,114,145,7.305e-05
19,Is my payment information stored securely?,payment,no_cache,False,3169.8334999964572,32,205,237,0.0001278
20,How do I contact customer support?,general,no_cache,False,2764.4383999868296,31,128,159,8.145e-05
21,Do you offer gift wrapping?,general,no_cache,False,2150.609100004658,31,111,142,7.125e-05
1,Track my package,order_tracking,with_cache,False,2875.8658999868203,27,123,150,7.785000000000001e-05
2,What is the status of my delivery?,order_tracking,with_cache,False,2254.034199984744,32,83,115,5.46e-05
3,Can I check where my parcel is?,order_tracking,with_cache,False,2498.192700004438,33,137,170,8.714999999999999e-05
4,When will my order arrive?,order_tracking,with_cache,False,2233.4365000133403,30,140,170,8.85e-05
5,I want to send back my purchase,return_policy,with_cache,False,2377.08959999145,31,137,168,8.685e-05
6,What is your refund policy?,return_policy,with_cache,False,3949.0836999902967,31,130,161,8.264999999999999e-05
7,How do I reset my login credentials?,account,with_cache,False,2806.6527000046335,32,184,216,0.0001152
8,I cannot log in to my account,account,with_cache,False,3743.6840999871492,31,185,216,0.00011564999999999999
9,Please cancel my order,cancellation,with_cache,False,2129.7461000212934,28,102,130,6.539999999999999e-05
10,How do I stop my recurring billing?,cancellation,with_cache,False,4742.612400004873,32,216,248,0.0001344
11,Is there free delivery on orders?,shipping,with_cache,False,1936.9751999911387,31,90,121,5.865e-05
12,Can I pay with PayPal?,payment,with_cache,False,2320.035199983977,32,72,104,4.8e-05
13,The product I received is broken,damaged_goods,with_cache,False,2179.696299979696,30,124,154,7.890000000000001e-05
14,Do you have a loyalty rewards program?,promotions,with_cache,False,1835.807300027227,32,90,122,5.8800000000000006e-05
15,How do I update my delivery address?,account,with_cache,False,3694.5450000057463,32,217,249,0.000135
16,Can I change my order after placing it?,order_tracking,with_cache,False,3167.016199993668,33,181,214,0.00011355
17,Do you ship to international addresses?,shipping,with_cache,False,2770.429399999557,31,112,143,7.185e-05
18,How long does standard delivery take?,shipping,with_cache,False,3491.6640000010375,31,132,163,8.385e-05
19,Is my payment information stored securely?,payment,with_cache,False,6444.715400022687,32,161,193,0.0001014
20,How do I contact customer support?,general,with_cache,False,3794.01610000059,31,170,201,0.00010665
21,Do you offer gift wrapping?,general,with_cache,False,3381.4031000074465,31,75,106,4.9649999999999994e-05
